"","team","EPA"
"1","ARI",-0.15291203097911
"2","ATL",0.0973266541538828
"3","BAL",0.0333401214046702
"4","BUF",-0.13920230490094
"5","CAR",0.0653663658085075
"6","CHI",0.0217883765732389
"7","CIN",0.0247374419456378
"8","CLE",-0.00564387665703888
"9","DAL",0.0311745541947384
"10","DEN",-0.00376266428342795
"11","DET",0.00611257320027214
"12","GB",0.0436291279225757
"13","HOU",0.0602750610505372
"14","IND",0.083703622041658
"15","KC",0.202329656212498
"16","MIA",-0.0597439292861196
"17","MIN",-0.0266913914136688
"18","NE",0.0754743324265595
"19","NO",0.174994710852096
"20","NYG",0.0502827740402641
"21","NYJ",-0.0791923182653511
"22","OAK",-0.0609772669649978
"23","PHI",0.0485146397160933
"24","PIT",0.0874845505903253
"25","SEA",0.0812048105719471
"26","SF",0.0038806421225247
"27","TB",0.0444489945823924
"28","TEN",0.0162310163392033
"29","WAS",-0.0258473855712214
"30","JAX",-0.0871013109083892
"31","LAC",0.0823596301133631
"32","LA",0.138018484828718
